country,year,iso_code,entity_type,region,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Africa,1964,,region,,313057965.0,,,,,,,,,,,,,,,,,6.096,19.509,1084.536,339.523,,,,,,,,,,,,,,,,,,,,,,,,,85.973,5.235,36.17,11.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.932,292.332,3059.35,957.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,1965,,region,,321010751.0,,,,0.0,0.0,,,,0.0,,,,1007.742,323.496,,,8.434,28.637,1146.876,368.159,,45.386,,,,,,,2228.148,,,,,,2100.056,674.141,,94.581,,,9.572,,,29.818,176.044,19.934,97.373,31.258,,1.343,,,,38.627,43.318,13.906,120.329,,5.419,,,38.627,43.318,13.906,120.329,,5.419,,,,,0.0,0.0,0.0,0.0,,0.0,,,341.073,,,1062.496,28.958,277.347,3847.538,1235.101,,47.852,0.0,0.0,,,,0.0,,0.0,,,0.0,,715.26,,,38.627,43.318,13.906,120.329,,5.419,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0
Africa,1966,,region,,329249583.0,,,0.0,0.0,0.0,,,,0.0,,-0.116,-0.374,981.39,323.122,,,-1.023,-3.765,1106.744,364.395,,43.293,,,,,4.738,33.888,2275.319,,4.323,29.144,,,2136.024,703.285,,94.228,11.765,1.126,10.698,,,32.492,22.341,6.983,116.146,38.241,,1.433,,11.538,4.457,43.083,47.107,15.51,130.853,,5.772,11.538,4.457,43.083,47.107,15.51,130.853,,5.772,,,,0.0,0.0,0.0,0.0,0.0,,0.0,8.324,28.392,369.465,,,1122.141,27.263,336.726,4773.968,1571.827,,49.502,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,,749.148,11.538,4.457,43.083,47.107,15.51,130.853,,5.772,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1967,,region,,337848285.0,,,0.0,0.0,0.0,,,,0.0,,2.219,7.169,977.633,330.292,,,1.464,5.335,1094.366,369.73,,43.798,,,,,1.051,7.875,2240.717,,0.834,5.862,,,2099.01,709.147,,94.036,-1.161,-0.124,10.574,,,31.298,-16.316,-6.24,94.721,32.001,,1.402,,4.388,1.891,44.974,47.923,16.191,133.119,,5.964,4.388,1.891,44.974,47.923,16.191,133.119,,5.964,,,,0.0,0.0,0.0,0.0,0.0,,0.0,-0.32,-1.183,368.282,,,1090.08,10.008,157.31,5118.087,1729.137,,48.836,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,,757.023,4.388,1.891,44.974,47.923,16.191,133.119,,5.964,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1968,,region,,346798203.0,,,0.0,0.0,0.0,,,,0.0,,4.003,13.221,990.527,343.513,,,4.709,17.411,1116.327,387.14,,43.133,,,,,5.651,42.78,2306.246,,4.887,34.655,,,2144.768,743.802,,93.395,1.355,0.143,10.717,,,30.903,39.987,12.796,129.176,44.798,,1.346,,16.971,7.633,52.607,54.609,18.938,151.692,,6.605,16.971,7.633,52.607,54.609,18.938,151.692,,6.605,,,,0.0,0.0,0.0,0.0,0.0,,0.0,5.781,21.29,389.572,,,1123.338,28.164,486.989,6390.247,2216.126,,48.916,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,,799.802,16.971,7.633,52.607,54.609,18.938,151.692,,6.605,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1969,,region,,356029849.0,,,0.0,0.0,0.0,,,,0.0,,0.911,3.13,973.634,346.643,,,1.415,5.478,1102.769,392.619,,42.381,,,,,2.761,22.086,2308.48,,1.712,12.734,,,2124.922,756.536,,92.494,16.824,1.803,12.52,,,35.166,-16.113,-7.218,105.552,37.58,,1.531,,16.699,8.785,61.391,62.076,22.101,172.433,,7.506,16.699,8.785,61.391,62.076,22.101,172.433,,7.506,,,,0.0,0.0,0.0,0.0,0.0,,0.0,2.002,7.801,397.373,,,1116.122,27.172,602.168,7915.894,2818.294,,48.583,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,,821.888,16.699,8.785,61.391,62.076,22.101,172.433,,7.506,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1970,,region,,365549406.0,,,0.0,0.0,0.0,,,,0.0,,4.072,14.114,986.89,360.757,,,4.397,17.264,1121.278,409.882,,40.656,,,,,8.567,70.408,2440.972,,7.145,54.057,,,2217.465,810.593,,91.35,24.188,3.028,15.549,,,42.535,-19.969,-7.504,82.275,30.076,,1.752,,25.02,15.36,76.751,75.586,27.63,209.961,,8.65,25.02,15.36,76.751,75.586,27.63,209.961,,8.65,,,,0.0,0.0,0.0,0.0,0.0,,0.0,9.29,36.915,434.288,,,1188.041,20.627,581.335,9300.054,3399.629,,48.942,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,,892.296,25.02,15.36,76.751,75.586,27.63,209.961,,8.65,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1971,,region,,375323722.0,,,0.0,0.0,0.0,,,,0.0,,6.169,22.255,1020.485,383.012,,,7.04,28.855,1168.958,438.738,,40.47,,,,,6.589,58.792,2534.046,,7.778,63.05,,,2327.705,873.643,,92.311,18.373,2.857,18.405,,,49.038,23.1,6.947,98.643,37.023,,1.945,,-5.852,-4.492,72.259,69.309,26.013,192.526,,7.635,-5.259,-3.979,72.772,69.746,26.177,193.891,,7.689,,,,0.0,0.0,0.0,0.0,0.0,,0.0,8.736,37.938,472.225,,,1258.181,-6.43,-218.599,8475.43,3181.03,,49.896,0.512,0.164,,,0.512,0.437,,1.365,,,0.054,,951.088,-5.259,-3.979,72.772,69.746,26.177,193.891,,7.689,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1972,,region,,385309493.0,,,0.0,0.0,0.0,,,,0.0,,0.313,1.199,997.149,384.211,,,-0.545,-2.391,1132.456,436.346,,38.39,,,,,5.787,55.042,2611.223,,5.075,44.335,,,2382.441,917.977,,91.724,34.041,6.265,24.671,,,64.028,75.931,28.112,169.046,65.135,,2.465,,13.915,10.055,82.314,76.908,29.633,213.632,,8.225,13.832,10.058,82.83,77.336,29.798,214.97,,8.276,,,,0.0,0.0,0.0,0.0,0.0,,0.0,7.808,36.871,509.096,,,1321.265,0.413,13.144,8289.89,3194.173,,50.869,0.516,0.165,,0.61,0.003,0.428,,1.338,,,0.052,,1006.129,13.832,10.058,82.83,77.336,29.798,214.97,,8.276,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1973,,region,,395819192.0,,,0.0,0.0,0.0,,,,0.0,,6.429,24.7,1033.074,408.91,,,6.38,27.841,1172.725,464.187,,37.663,,,,,8.469,85.207,2757.159,,8.729,80.128,,,2521.618,998.105,,91.931,60.319,14.881,39.552,,,99.924,50.952,33.187,248.402,98.322,,3.643,,5.779,4.757,87.071,79.192,31.346,219.978,,8.02,5.764,4.773,87.603,79.621,31.516,221.32,,8.069,,,,0.0,0.0,0.0,0.0,0.0,,0.0,7.964,40.547,549.643,,,1388.621,4.782,152.748,8455.683,3346.921,,50.625,0.531,0.17,,3.03,0.016,0.429,,1.342,,,0.049,,1091.336,5.764,4.773,87.603,79.621,31.516,221.32,,8.069,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
