country,year,iso_code,population,gdp,renewables_share_energy,fossil_share_energy,coal_share_energy,gas_share_energy,oil_share_energy,nuclear_share_energy,hydro_share_energy,wind_share_energy,solar_share_energy,energy_per_capita,carbon_intensity_elec
Bahrain,1990,BHR,514755.0,3274114048.0,,,,,,,,,,145882.297,
Bahrain,1991,BHR,531841.0,3651056896.0,,,,,,,,,,158036.203,
Bahrain,1992,BHR,547704.0,4256667904.0,,,,,,,,,,128741.703,
Bahrain,1993,BHR,562766.0,4978466304.0,,,,,,,,,,149633.656,
Bahrain,1994,BHR,577908.0,5580193792.0,,,,,,,,,,143563.875,
Bahrain,1995,BHR,593177.0,6161508864.0,,,,,,,,,,140115.797,
Bahrain,1996,BHR,608545.0,6872042496.0,,,,,,,,,,136910.094,
Bahrain,1997,BHR,623971.0,7574288384.0,,,,,,,,,,157316.141,
Bahrain,1998,BHR,639345.0,8524455936.0,,,,,,,,,,161166.453,
Bahrain,1999,BHR,654572.0,9667911680.0,,,,,,,,,,161509.688,
Bahrain,2000,BHR,669543.0,11032289280.0,,,,,,,,,,167094.625,904.762
Bahrain,2001,BHR,699926.0,12074987520.0,,,,,,,,,,165432.156,904.925
Bahrain,2002,BHR,752141.0,13787453440.0,,,,,,,,,,164260.469,904.98
Bahrain,2003,BHR,811229.0,16535287808.0,,,,,,,,,,159118.375,904.459
Bahrain,2004,BHR,871404.0,19633465344.0,,,,,,,,,,153445.609,904.644
Bahrain,2005,BHR,932571.0,22873325568.0,,,,,,,,,,160850.422,904.491
Bahrain,2006,BHR,994573.0,26149797888.0,,,,,,,,,,160924.25,898.764
Bahrain,2007,BHR,1057370.0,30119518208.0,,,,,,,,,,155411.562,901.473
Bahrain,2008,BHR,1120668.0,33548849152.0,,,,,,,,,,153552.609,904.908
Bahrain,2009,BHR,1183577.0,35937222656.0,,,,,,,,,,143945.891,904.699
Bahrain,2010,BHR,1213201.0,39778050048.0,,,,,,,,,,141967.203,904.702
Bahrain,2011,BHR,1206693.0,43727147008.0,,,,,,,,,,141224.812,904.684
Bahrain,2012,BHR,1216256.0,45357289472.0,,,,,,,,,,150518.25,904.723
Bahrain,2013,BHR,1257153.0,47813840896.0,,,,,,,,,,161945.844,904.67
Bahrain,2014,BHR,1312803.0,49894227968.0,,,,,,,,,,153723.641,904.255
Bahrain,2015,BHR,1369607.0,51134095360.0,,,,,,,,,,148649.344,904.528
Bahrain,2016,BHR,1429559.0,52953448448.0,,,,,,,,,,142098.906,904.278
Bahrain,2017,BHR,1481958.0,55226208256.0,,,,,,,,,,141025.578,904.55
Bahrain,2018,BHR,1497582.0,56391483392.0,,,,,,,,,,140429.266,904.569
Bahrain,2019,BHR,1485632.0,57613484032.0,,,,,,,,,,155665.203,904.259
Bahrain,2020,BHR,1483026.0,54937337856.0,,,,,,,,,,152086.828,904.134
Bahrain,2021,BHR,1501708.0,56404168704.0,,,,,,,,,,156368.266,903.568
Bahrain,2022,BHR,1533408.0,58769760256.0,,,,,,,,,,161788.438,902.747
