"carat","cut","color","clarity","depth","table","price","x","y","z"
0.79,"Premium","D","SI1",61.4,59,3058,5.96,5.89,3.64
1,"Good","E","SI2",63.7,61,3819,6.27,6.32,4.01
0.34,"Premium","D","SI1",59.6,59,803,4.57,4.55,2.72
0.77,"Very Good","I","VS2",63.2,58,2513,5.79,5.85,3.68
0.31,"Ideal","D","VS2",62.5,56,942,4.36,4.34,2.72
0.6,"Good","G","VS2",64.3,57,1793,5.31,5.38,3.43
0.96,"Good","D","SI2",64,62,3419,6.16,6.13,3.93
0.71,"Very Good","F","SI2",63.2,57,2397,5.66,5.7,3.59
0.98,"Fair","G","I1",69.7,58,1712,6.08,5.98,4.21
0.41,"Ideal","H","SI1",61.2,57,683,4.76,4.78,2.92
0.5,"Very Good","D","VS2",63.8,56,1580,5.05,5.08,3.23
0.5,"Very Good","H","SI1",62.9,58,1068,5.01,5.04,3.16
0.51,"Ideal","E","VS2",61.7,53,1590,5.18,5.2,3.2
0.41,"Good","E","SI1",63.5,55,654,4.73,4.75,3.01
0.4,"Very Good","E","SI2",63.1,57,798,4.72,4.7,2.97
1.01,"Good","G","SI2",59.2,65,4047,6.35,6.41,3.78
0.35,"Very Good","G","IF",60.5,56,1001,4.56,4.6,2.77
0.32,"Premium","H","VS2",60.6,58,505,4.44,4.47,2.7
1.01,"Very Good","F","SI2",59.5,57,3709,6.61,6.66,3.95
1.53,"Premium","F","SI1",62,56,11370,7.47,7.39,4.61
0.53,"Ideal","E","VS2",62,56,1956,5.29,5.2,3.25
0.71,"Premium","E","VVS1",62.5,57,3831,5.67,5.62,3.53
1.06,"Premium","H","SI1",61,58,4984,6.57,6.61,4.02
2,"Very Good","H","SI1",63.3,59,17760,8.03,7.96,5.06
0.83,"Very Good","E","SI1",63.5,58,3365,5.93,5.98,3.78
1.05,"Very Good","H","VS2",59,59,5370,6.68,6.71,3.95
1.21,"Ideal","I","VS1",61.8,56,7037,6.83,6.87,4.23
0.51,"Ideal","E","SI1",62,55,1343,5.12,5.14,3.18
0.33,"Ideal","H","VS1",62.2,53.3,592,4.45,4.48,2.77
1.06,"Ideal","F","SI1",61.2,55,4862,6.62,6.57,4.03
1.01,"Very Good","D","SI2",60.1,60,4690,6.41,6.47,3.87
1.29,"Premium","D","SI2",59.4,62,6935,7.06,6.99,4.17
0.9,"Good","F","SI2",61.9,59,4013,6.09,6.12,3.78
0.71,"Ideal","F","VS1",62.7,57,3041,5.66,5.7,3.56
1.13,"Premium","H","VS2",61.7,56,5728,6.73,6.65,4.13
1,"Premium","E","VS2",59.9,59,6272,6.45,6.38,3.84
0.31,"Premium","D","SI2",62.1,59,593,4.35,4.31,2.69
0.7,"Good","I","SI1",58.5,61,2276,5.76,5.82,3.39
0.33,"Ideal","E","VS2",61.8,55,928,4.48,4.45,2.76
0.3,"Ideal","E","SI2",62,54,401,4.33,4.35,2.69
0.33,"Ideal","F","SI2",62.3,55,450,4.44,4.49,2.78
0.4,"Premium","D","SI1",61.6,58,990,4.73,4.69,2.9
0.26,"Very Good","I","VVS2",62.7,55,427,4.09,4.12,2.57
1.06,"Premium","E","VS2",61.4,60,7123,6.57,6.53,4.02
0.52,"Ideal","E","VS2",61.1,57,1689,5.18,5.2,3.17
1.76,"Ideal","H","SI1",62.2,56,9974,7.73,7.7,4.8
1.02,"Very Good","H","VS2",60,63,4604,6.54,6.49,3.91
2.17,"Premium","H","SI1",62.3,58,13248,8.29,8.25,5.15
0.7,"Very Good","G","SI1",62.5,60,2042,5.64,5.68,3.54
1.27,"Ideal","F","VS2",61,54,10656,7,7.02,4.28
1.1,"Ideal","E","SI2",61.6,56,5082,6.61,6.64,4.08
0.41,"Good","J","VS2",64.3,55,784,4.7,4.66,3.01
0.3,"Ideal","G","SI1",62.3,56,477,4.27,4.3,2.67
1.2,"Ideal","F","VS1",62.1,58,10367,6.78,6.84,4.23
1.06,"Premium","D","VS2",62.3,59,7541,6.48,6.52,4.05
0.31,"Good","G","VVS2",63.8,56,707,4.24,4.28,2.72
0.48,"Very Good","F","VVS1",62.3,55,1914,5.02,5.05,3.13
1.01,"Very Good","F","VVS2",61.8,55,8532,6.36,6.45,3.96
1.46,"Very Good","I","SI1",62.5,57,7146,7.15,7.19,4.48
1.01,"Good","E","SI1",63.2,59,5411,6.27,6.35,3.99
0.74,"Premium","I","VS1",62.9,57,2193,5.79,5.76,3.63
0.25,"Very Good","D","VVS2",63,56,512,3.98,4.02,2.52
0.41,"Very Good","G","VS1",62.7,57,899,4.74,4.77,2.98
0.3,"Good","H","VVS1",63.1,54,638,4.28,4.34,2.72
1.07,"Ideal","H","VS2",62,57,5820,6.55,6.58,4.07
1.05,"Premium","F","SI1",60.3,60,5557,6.66,6.54,3.98
1.64,"Very Good","H","SI2",60.7,59,9632,7.61,7.65,4.63
1.01,"Very Good","F","VVS1",62.8,58,9243,6.35,6.39,4
0.9,"Good","F","VS2",63.6,59,4309,6.06,6.11,3.87
0.4,"Good","E","SI1",63.7,56,882,4.69,4.66,2.98
1.01,"Ideal","E","VS2",59.3,57,7240,6.57,6.51,3.88
0.26,"Ideal","I","VS2",62,56,385,4.13,4.09,2.55
0.28,"Ideal","F","IF",62.4,55,646,4.17,4.2,2.61
2.52,"Good","G","SI2",63.7,59,17608,8.57,8.52,5.44
0.61,"Very Good","H","VVS2",60.5,57,1970,5.52,5.54,3.35
0.5,"Premium","F","VS2",62.3,58,1436,5.02,5.06,3.14
1.5,"Ideal","I","SI1",64.2,59,8736,7.13,7.1,4.57
1.28,"Very Good","F","SI2",62.5,55,5223,6.91,7,4.35
0.51,"Good","I","SI1",63.1,56,959,5.06,5.14,3.22
0.7,"Ideal","H","VS1",61,56,3185,5.75,5.79,3.51
0.7,"Good","D","SI1",62.6,62,2546,5.61,5.64,3.52
0.46,"Ideal","H","VS2",61.5,55,1252,4.98,5.01,3.07
1.04,"Premium","D","VS2",62,60,6814,6.49,6.45,4.01
0.83,"Very Good","G","SI2",63.3,57,2543,5.97,5.91,3.76
0.32,"Ideal","D","SI1",62.6,55,756,4.39,4.36,2.74
0.7,"Good","G","VS1",60.6,61,2591,5.71,5.77,3.48
0.75,"Very Good","E","SI2",60.9,59,2383,5.83,5.9,3.57
1.51,"Good","F","SI2",63.8,59,8245,7.22,7.18,4.59
0.26,"Good","E","IF",59.6,61,597,4.13,4.16,2.47
0.91,"Premium","D","VS2",62,58,5167,6.2,6.15,3.83
0.92,"Good","D","SI2",57.8,63,3277,6.4,6.36,3.69
1.14,"Ideal","H","SI2",62.6,57,4150,6.71,6.65,4.18
0.7,"Ideal","F","SI1",61.9,57,2230,5.66,5.75,3.53
1.04,"Very Good","I","SI2",61.6,58,3449,6.47,6.58,4.02
1,"Very Good","E","VS2",59.4,59,6377,6.44,6.46,3.83
1.5,"Premium","G","VS2",60.5,59,13112,7.39,7.35,4.46
0.9,"Good","G","SI1",60,61,3752,6.19,6.22,3.72
0.64,"Very Good","H","SI2",64.2,58,1292,5.43,5.48,3.5
0.55,"Ideal","F","VVS1",60.6,57,2716,5.33,5.36,3.24
0.31,"Ideal","G","VS1",62.7,57,542,4.31,4.34,2.71
1.5,"Good","I","VS2",60.5,60,8780,7.26,7.32,4.41
0.5,"Ideal","G","VVS1",62.1,53.5,1865,5.08,5.13,3.17
0.73,"Ideal","D","VS2",60.7,57,4134,5.84,5.88,3.55
0.33,"Ideal","H","IF",61.9,55,868,4.42,4.44,2.74
1.57,"Very Good","H","VS1",62.8,60,11605,7.36,7.44,4.65
1.2,"Very Good","J","SI2",61.8,60,4580,6.76,6.83,4.2
0.31,"Ideal","D","SI1",61.5,56,571,4.33,4.35,2.67
1.19,"Premium","H","SI2",61.9,58,4332,6.84,6.77,4.21
1.5,"Premium","F","VS2",61.1,58,14199,7.36,7.33,4.49
1.24,"Premium","H","SI2",62.1,58,4854,6.92,6.88,4.28
0.83,"Premium","G","VS1",58.8,58,3602,6.2,6.15,3.63
0.55,"Very Good","F","VS2",62.5,56,1625,5.23,5.27,3.28
1.37,"Ideal","G","VVS1",62.6,55,12455,7.12,7.07,4.44
0.53,"Premium","F","SI1",62.2,58,1266,5.19,5.16,3.22
0.71,"Ideal","H","VS1",62.2,57,2559,5.66,5.73,3.54
1.08,"Ideal","G","VS2",62.1,57,5559,6.54,6.57,4.07
0.52,"Ideal","E","VS2",61.1,55,1689,5.2,5.27,3.2
1.06,"Ideal","I","SI1",61.9,54,4745,6.56,6.59,4.07
1.11,"Premium","F","VS2",63,56,6589,6.62,6.49,4.15
0.92,"Premium","G","SI2",62.4,57,3555,6.22,6.18,3.87
0.72,"Very Good","I","VVS2",62.7,54,2386,5.74,5.8,3.62
0.9,"Very Good","F","SI2",60.3,57,3519,6.27,6.34,3.8
0.34,"Premium","G","VS2",61.2,58,596,4.46,4.5,2.74
1.51,"Very Good","I","VS2",60.4,58,9178,7.36,7.42,4.46
1.75,"Ideal","F","SI2",62.9,57,11113,7.71,7.59,4.81
1.6,"Very Good","F","SI2",60.5,60,8377,7.52,7.55,4.56
1.12,"Very Good","H","SI1",63.1,56,4673,6.62,6.59,4.17
0.35,"Ideal","H","VVS1",61.5,57,1024,4.54,4.53,2.79
2.16,"Ideal","I","SI2",61.9,54,15124,8.29,8.33,5.14
0.36,"Ideal","G","VVS1",62.8,57,1053,4.55,4.52,2.85
1.5,"Very Good","E","VS2",62.9,56,13892,7.31,7.22,4.57
1.01,"Very Good","H","VS1",63.5,56,4412,6.32,6.27,4
1.01,"Premium","G","VS2",61.6,60,6108,6.51,6.42,3.98
0.3,"Ideal","E","VS2",62,55,658,4.25,4.3,2.65
0.33,"Ideal","G","VVS1",62.2,57,1114,4.46,4.41,2.76
1.01,"Premium","H","VS2",60.5,58,4839,6.46,6.4,3.89
0.27,"Ideal","E","VVS2",61.8,57,622,4.12,4.16,2.56
1.05,"Ideal","D","SI2",62.1,56,5156,6.48,6.54,4.04
0.23,"Very Good","F","VVS2",61.2,55,505,3.97,4.01,2.44
0.41,"Good","D","VS1",60.2,62,986,4.8,4.84,2.9
1,"Premium","H","SI2",61.3,58,3920,6.45,6.41,3.94
1.32,"Ideal","I","SI1",61.7,56,5544,7.11,7.05,4.37
1.14,"Premium","G","SI1",62.2,58,5326,6.64,6.7,4.15
0.35,"Very Good","D","VS1",63.9,55,792,4.49,4.53,2.88
0.31,"Ideal","I","VS2",61.4,55,452,4.35,4.41,2.69
1.56,"Very Good","H","VVS2",63.3,58,12098,7.3,7.35,4.64
0.31,"Premium","I","VS2",62.3,60,435,4.31,4.32,2.69
2,"Good","H","SI2",63.8,59,12554,7.93,7.88,5.04
0.31,"Ideal","G","VS2",61.6,54,698,4.41,4.39,2.71
0.29,"Ideal","I","VS1",61.7,56,444,4.22,4.27,2.62
0.72,"Ideal","F","SI2",61.2,54,2422,5.81,5.86,3.57
2.07,"Ideal","I","VS2",60.3,59,17045,8.23,8.28,4.98
1.22,"Ideal","E","SI2",62.7,57,6343,6.84,6.81,4.28
0.7,"Fair","G","VS2",66.5,57,2575,5.4,5.46,3.61
1.27,"Ideal","F","VS2",61,59,9547,6.96,6.98,4.25
0.31,"Ideal","E","VS1",61.6,55,722,4.39,4.41,2.71
0.41,"Premium","E","VS2",59.8,60,935,4.83,4.87,2.9
0.28,"Very Good","E","VVS2",61,57,707,4.22,4.25,2.58
0.31,"Ideal","I","VS2",59.9,57,435,4.38,4.4,2.63
0.5,"Very Good","I","VS1",63,55,1242,5.07,5.09,3.2
1.1,"Premium","H","VS2",61.2,58,5805,6.75,6.64,4.1
0.3,"Ideal","D","VS2",61,55,778,4.38,4.34,2.66
0.6,"Premium","E","VS2",62.7,58,1915,5.37,5.34,3.36
0.32,"Ideal","G","VS1",60.8,57,828,4.42,4.39,2.68
1.51,"Very Good","J","SI1",63.1,55,8049,7.25,7.32,4.6
1,"Premium","E","SI2",61.7,58,4620,6.34,6.39,3.93
0.3,"Ideal","J","SI1",62.3,57,367,4.27,4.3,2.67
