period_begin,state,state_code,property_type,median_sale_price,median_list_price,homes_sold,new_listings,inventory,months_of_supply,off_market_in_two_weeks,parent_metro_region
2024-12-01,Pennsylvania,PA,multi family,223800,244900.0,370,336.0,1247.0,3.4,0.3530176516,Northeast Region
2014-03-01,Wisconsin,WI,condo,114300,164200.0,71,172.0,771.0,10.9,0.01744186047,Midwest Region
2024-01-01,Oklahoma,OK,condo,100000,261100.0,52,64.0,164.0,3.2,0.3276298599,South Region
2024-06-01,Arkansas,AR,all,266700,266300.0,3393,4306.0,11455.0,3.4,0.3433375318,South Region
2021-08-01,Oklahoma,OK,multi family,191400,228100.0,35,30.0,52.0,1.5,0.5748717949,South Region
2020-11-01,Colorado,CO,single family,527900,414300.0,6705,5274.0,10691.0,1.6,0.2585176192,West Region
2021-10-01,Mississippi,MS,multi family,173300,207600.0,7,9.0,37.0,5.3,0.1111111111,South Region
2023-06-01,Alaska,AK,condo,249900,390600.0,98,152.0,94.0,1.0,0.7385167464,West Region
2019-07-01,New Jersey,NJ,single family,343900,330300.0,9842,10155.0,41078.0,4.2,0.1091881842,Northeast Region
2023-04-01,Illinois,IL,single family,275100,278800.0,7599,9766.0,19872.0,2.6,0.5680585187,Midwest Region
2022-05-01,Iowa,IA,single family,224700,223000.0,3513,4213.0,7845.0,2.2,0.2264864452,Midwest Region
2024-06-01,Massachusetts,MA,multi family,767200,623200.0,486,614.0,850.0,1.7,0.6452036945,Northeast Region
2024-05-01,Alabama,AL,townhouse,265500,323700.0,183,204.0,503.0,2.7,0.3271157008,South Region
2014-10-01,Kentucky,KY,condo,125900,146100.0,225,261.0,1485.0,6.6,0.007311113925,South Region
2015-12-01,Maine,ME,condo,243600,145700.0,21,9.0,157.0,7.5,0.0,Northeast Region
2018-05-01,Georgia,GA,all,237600,257800.0,15690,20229.0,48118.0,3.1,0.3401522965,South Region
2017-11-01,Connecticut,CT,multi family,187400,229300.0,237,261.0,1216.0,5.1,0.0,Northeast Region
2021-06-01,Delaware,DE,all,299500,288800.0,1166,1247.0,1333.0,1.1,0.7063610489,South Region
2016-07-01,Massachusetts,MA,condo,392500,418500.0,1373,1379.0,2761.0,2.0,0.4060642297,Northeast Region
2015-06-01,Missouri,MO,multi family,117500,133500.0,97,156.0,481.0,5.0,0.06314580941,Midwest Region
2016-12-01,North Carolina,NC,condo,160900,226500.0,481,352.0,2332.0,4.8,0.130432342,South Region
2022-07-01,Rhode Island,RI,all,426200,452500.0,1328,1457.0,2342.0,1.8,0.5128873545,Northeast Region
2015-05-01,Washington,WA,single family,335500,327500.0,7928,10913.0,21823.0,2.8,0.3393824594,West Region
2017-12-01,Ohio,OH,townhouse,217800,124200.0,31,17.0,164.0,5.3,0.3137254902,Midwest Region
2018-05-01,Hawaii,HI,single family,646600,581000.0,689,798.0,2900.0,4.2,0.1633419091,West Region
2020-07-01,Florida,FL,townhouse,239700,309800.0,3408,3700.0,8600.0,2.5,0.3298378466,South Region
2021-04-01,Pennsylvania,PA,single family,257100,249000.0,8461,11786.0,18688.0,2.2,0.550823776,Northeast Region
2024-02-01,Ohio,OH,all,227100,233500.0,8567,10287.0,19084.0,2.2,0.4660827594,Midwest Region
2015-08-01,Oregon,OR,all,277500,282300.0,6397,7116.0,19335.0,3.0,0.340859658,West Region
2020-04-01,Arizona,AZ,multi family,328900,302100.0,51,93.0,323.0,6.3,0.3229813665,West Region
2015-03-01,South Dakota,SD,all,153900,177400.0,432,748.0,2211.0,5.1,0.01771349923,Midwest Region
2016-04-01,Massachusetts,MA,condo,363900,460300.0,1044,1769.0,2717.0,2.6,0.5421916224,Northeast Region
2018-02-01,Nebraska,NE,condo,169300,200600.0,30,48.0,118.0,3.9,0.3482142857,Midwest Region
2024-09-01,New York,NY,all,548900,647700.0,11485,15981.0,38477.0,3.4,0.2511141787,Northeast Region
2015-11-01,Wyoming,WY,townhouse,352700,351000.0,31,16.0,91.0,2.9,0.0,West Region
2017-09-01,Vermont,VT,all,216600,236600.0,815,916.0,5717.0,7.0,0.1909850979,Northeast Region
2023-07-01,Wyoming,WY,single family,400200,445100.0,548,732.0,2085.0,3.8,0.01955585219,West Region
2017-04-01,North Dakota,ND,all,217000,227400.0,246,366.0,1263.0,5.1,0.02738639017,Midwest Region
2018-08-01,Georgia,GA,single family,229800,234400.0,12644,15376.0,45034.0,3.6,0.259777685,South Region
2015-09-01,Tennessee,TN,condo,191500,199800.0,325,359.0,1362.0,4.2,0.2138750097,South Region
2024-06-01,Idaho,ID,all,481100,526700.0,2421,3518.0,8951.0,3.7,0.339744722,West Region
2022-11-01,Georgia,GA,multi family,289100,306200.0,51,90.0,221.0,4.3,0.3634038801,South Region
2017-01-01,Georgia,GA,single family,196400,219000.0,7061,11984.0,42974.0,6.1,0.1842957655,South Region
2020-11-01,North Dakota,ND,single family,240000,230900.0,373,236.0,1168.0,3.1,0.009798728814,Midwest Region
2018-02-01,Columbia,DC,townhouse,630000,569900.0,273,320.0,470.0,1.7,0.2905660377,South Region
2019-04-01,Illinois,IL,all,220100,254900.0,14118,22830.0,60594.0,4.3,0.3629897773,Midwest Region
2023-07-01,Georgia,GA,single family,378000,377300.0,9626,14005.0,29357.0,3.0,0.3667673591,South Region
2021-08-01,Texas,TX,single family,320300,317500.0,34530,38137.0,58537.0,1.7,0.4894092278,South Region
2024-11-01,Kansas,KS,multi family,302700,258900.0,26,39.0,182.0,7.0,0.2824324324,Midwest Region
2019-09-01,Vermont,VT,multi family,203900,265600.0,25,28.0,115.0,4.6,0.2113095238,Northeast Region
2015-11-01,New Jersey,NJ,multi family,169500,227900.0,117,161.0,1189.0,10.2,0.06168022431,Northeast Region
2019-01-01,Mississippi,MS,townhouse,132400,163800.0,16,17.0,71.0,4.4,0.0,South Region
2018-04-01,Wisconsin,WI,condo,168900,223600.0,662,798.0,2122.0,3.2,0.4295178683,Midwest Region
2016-06-01,Maryland,MD,condo,191400,330800.0,781,843.0,2107.0,2.7,0.1286204758,South Region
2020-08-01,South Dakota,SD,all,230500,229500.0,1138,1054.0,3265.0,2.9,0.01242060313,Midwest Region
2023-12-01,Massachusetts,MA,single family,573000,529500.0,2974,1402.0,3888.0,1.3,0.4017623005,Northeast Region
2019-01-01,Tennessee,TN,single family,225000,236700.0,5118,7784.0,25446.0,5.0,0.2725066769,South Region
2023-05-01,Michigan,MI,multi family,162800,220700.0,189,249.0,531.0,2.8,0.4645601087,Midwest Region
2022-05-01,Minnesota,MN,townhouse,296900,380400.0,1046,1241.0,1243.0,1.2,0.7138902214,Midwest Region
2015-04-01,Maryland,MD,townhouse,185200,270100.0,2014,3488.0,7408.0,3.7,0.1807314403,South Region
2015-09-01,New Hampshire,NH,condo,178900,253300.0,261,305.0,1438.0,5.5,0.1703887383,Northeast Region
2021-09-01,Columbia,DC,condo,453700,675000.0,322,748.0,1478.0,4.6,0.4010695187,South Region
2020-03-01,West Virginia,WV,single family,173600,185600.0,998,1148.0,4329.0,4.3,0.1671950237,South Region
2015-03-01,Washington,WA,all,305000,328200.0,8127,11666.0,22482.0,2.8,0.347412918,West Region
2020-05-01,Minnesota,MN,single family,279900,278700.0,5451,7541.0,12914.0,2.4,0.4781534546,Midwest Region
2022-10-01,Oregon,OR,condo,347100,523300.0,254,321.0,849.0,3.3,0.2782497332,West Region
2017-01-01,Montana,MT,single family,249600,249200.0,597,633.0,3994.0,6.7,0.01539481627,West Region
2016-01-01,Utah,UT,condo,254900,363400.0,238,305.0,1235.0,5.2,0.003579485637,West Region
2023-08-01,Kentucky,KY,multi family,176200,279900.0,42,56.0,77.0,1.8,0.6176781239,South Region
2021-08-01,Oklahoma,OK,all,211300,215500.0,5918,6291.0,9114.0,1.5,0.504289154,South Region
2023-08-01,Nevada,NV,multi family,439800,457600.0,27,39.0,100.0,3.7,0.4167403478,West Region
2021-03-01,New York,NY,all,474300,524000.0,13841,18592.0,42371.0,3.1,0.2341075138,Northeast Region
2021-06-01,Montana,MT,all,409300,465300.0,1770,2057.0,4616.0,2.6,0.01355970191,West Region
