period_begin,state,state_code,property_type,median_sale_price
2020-01-01,Minnesota,MN,Single Family Residential,262200
2020-01-01,New Hampshire,NH,Townhouse,247000
2020-01-01,Georgia,GA,All Residential,230800
2020-01-01,New Hampshire,NH,Condo/Co-op,222300
2020-01-01,South Dakota,SD,Multi-Family (2-4 Unit),162400
2020-01-01,Utah,UT,Townhouse,288000
2020-01-01,Maine,ME,Multi-Family (2-4 Unit),213400
2020-01-01,Alaska,AK,Condo/Co-op,170400
2020-01-01,Georgia,GA,Condo/Co-op,205800
2020-01-01,Arizona,AZ,All Residential,284100
2020-01-01,Columbia,DC,Condo/Co-op,458000
2020-01-01,New Jersey,NJ,Condo/Co-op,313200
2020-01-01,Nebraska,NE,All Residential,187400
2020-01-01,South Carolina,SC,Condo/Co-op,170900
2020-01-01,Arizona,AZ,Multi-Family (2-4 Unit),310700
2020-01-01,Oregon,OR,Single Family Residential,363600
2020-01-01,Virginia,VA,Multi-Family (2-4 Unit),184800
2020-01-01,Kansas,KS,Condo/Co-op,111800
2020-01-01,Colorado,CO,All Residential,410000
2020-01-01,Columbia,DC,Multi-Family (2-4 Unit),714500
2020-01-01,Mississippi,MS,Multi-Family (2-4 Unit),194300
2020-01-01,Oklahoma,OK,Single Family Residential,163700
2020-01-01,South Carolina,SC,All Residential,240100
2020-01-01,Wyoming,WY,Single Family Residential,317200
2020-01-01,New Jersey,NJ,All Residential,320600
2020-01-01,Mississippi,MS,All Residential,167100
2020-01-01,Vermont,VT,Condo/Co-op,223200
2020-01-01,Utah,UT,Single Family Residential,358600
2020-01-01,Ohio,OH,All Residential,152200
2020-01-01,Louisiana,LA,Condo/Co-op,138300
2020-01-01,Maine,ME,Condo/Co-op,269600
2020-01-01,South Carolina,SC,Townhouse,205200
2020-01-01,New Mexico,NM,Multi-Family (2-4 Unit),233400
2020-01-01,Tennessee,TN,Single Family Residential,238600
2020-01-01,Texas,TX,Townhouse,207900
2020-01-01,Ohio,OH,Condo/Co-op,145300
2020-01-01,Maryland,MD,Condo/Co-op,198100
2020-01-01,North Dakota,ND,Multi-Family (2-4 Unit),240000
2020-01-01,Alabama,AL,Multi-Family (2-4 Unit),194200
2020-01-01,Louisiana,LA,Single Family Residential,198600
2020-01-01,Indiana,IN,Condo/Co-op,153600
2020-01-01,Wyoming,WY,Townhouse,463400
2020-01-01,Pennsylvania,PA,Condo/Co-op,228800
2020-01-01,Minnesota,MN,Multi-Family (2-4 Unit),258900
2020-01-01,New York,NY,Multi-Family (2-4 Unit),539900
2020-01-01,Nebraska,NE,Single Family Residential,187100
2020-01-01,North Dakota,ND,All Residential,226700
2020-01-01,West Virginia,WV,Single Family Residential,163100
2020-01-01,Arkansas,AR,Single Family Residential,160600
2020-01-01,New Mexico,NM,Single Family Residential,257600
2020-01-01,South Dakota,SD,Single Family Residential,209400
2020-01-01,Alaska,AK,Single Family Residential,281100
2020-01-01,Delaware,DE,Townhouse,172600
2020-01-01,New Hampshire,NH,Multi-Family (2-4 Unit),313400
2020-01-01,Michigan,MI,Condo/Co-op,178800
2020-01-01,Indiana,IN,Multi-Family (2-4 Unit),91500
2020-01-01,New Hampshire,NH,Single Family Residential,279000
2020-01-01,New Jersey,NJ,Multi-Family (2-4 Unit),386000
2020-01-01,Arkansas,AR,Townhouse,151200
2020-01-01,Idaho,ID,Townhouse,356800
2020-01-01,Montana,MT,Condo/Co-op,300400
2020-01-01,New Mexico,NM,Condo/Co-op,245700
2020-01-01,Nevada,NV,Condo/Co-op,173000
2020-01-01,West Virginia,WV,Multi-Family (2-4 Unit),60000
2020-01-01,Mississippi,MS,Townhouse,141500
2020-01-01,Kansas,KS,Townhouse,159800
2020-01-01,Delaware,DE,Condo/Co-op,137000
2020-01-01,Hawaii,HI,Single Family Residential,649300
2020-01-01,North Dakota,ND,Townhouse,246600
2020-01-01,Alabama,AL,Single Family Residential,191000
2020-01-01,Missouri,MO,Single Family Residential,173200
2020-01-01,Maryland,MD,Single Family Residential,354200
2020-01-01,Florida,FL,Single Family Residential,265800
2020-01-01,Minnesota,MN,All Residential,252300
2020-01-01,Oklahoma,OK,Condo/Co-op,114200
2020-01-01,Kansas,KS,Multi-Family (2-4 Unit),152300
2020-01-01,Oregon,OR,All Residential,356000
2020-01-01,New Jersey,NJ,Single Family Residential,322300
2020-01-01,West Virginia,WV,All Residential,159300
2020-01-01,Tennessee,TN,Condo/Co-op,244200
2020-01-01,Idaho,ID,Condo/Co-op,329500
2020-01-01,Mississippi,MS,Single Family Residential,168400
2020-01-01,Wisconsin,WI,Multi-Family (2-4 Unit),146500
2020-01-01,Missouri,MO,All Residential,171000
2020-01-01,Pennsylvania,PA,Townhouse,187300
2020-01-01,Nebraska,NE,Condo/Co-op,211500
2020-01-01,Maine,ME,All Residential,224100
2020-01-01,Georgia,GA,Multi-Family (2-4 Unit),226500
2020-01-01,Colorado,CO,Townhouse,408900
2020-01-01,Washington,WA,Condo/Co-op,337500
2020-01-01,Louisiana,LA,All Residential,198500
2020-01-01,Iowa,IA,All Residential,164400
2020-01-01,Georgia,GA,Single Family Residential,234000
2020-01-01,Pennsylvania,PA,Multi-Family (2-4 Unit),135000
2020-01-01,Kentucky,KY,Single Family Residential,170300
2020-01-01,Louisiana,LA,Townhouse,52700
2020-01-01,Maryland,MD,Townhouse,216300
2020-01-01,Rhode Island,RI,Single Family Residential,307300
2020-01-01,Rhode Island,RI,Condo/Co-op,235000
2020-01-01,Utah,UT,Multi-Family (2-4 Unit),418500
2020-01-01,South Dakota,SD,Townhouse,240000
2020-01-01,Wisconsin,WI,Condo/Co-op,181200
2020-01-01,Montana,MT,Townhouse,290000
2020-01-01,Texas,TX,Single Family Residential,239200
2020-01-01,Iowa,IA,Townhouse,224900
2020-01-01,Arkansas,AR,All Residential,161300
2020-01-01,Massachusetts,MA,All Residential,429000
2020-01-01,Wyoming,WY,All Residential,300000
2020-01-01,South Carolina,SC,Single Family Residential,254700
2020-01-01,Oregon,OR,Multi-Family (2-4 Unit),437500
2020-01-01,Arizona,AZ,Townhouse,228000
2020-01-01,Oregon,OR,Townhouse,352500
2020-01-01,Massachusetts,MA,Single Family Residential,417600
2020-01-01,Utah,UT,Condo/Co-op,349900
